Description,Price,Bedrooms,Bathrooms,Parking Spaces,Square Footage,Acres,Year Built,Type,Sub-Type,Style,Address,Community,City,Province,Postal Code
5 Bedrooms 1 Bathrooms Bungalow,359000.0,5,1,0,940.0,0.14,1953,Single Family,Residential Detached Single Family,Bungalow,10649 81 Street Nw,Forest Heights,Edmonton,Alberta,T6A 3L5
3 Bedrooms 2 Bathrooms Bungalow,298500.0,3,2,0,908.0,0.11,1958,Single Family,Residential Detached Single Family,Bungalow,11928 86 Street Nw,Eastwood,Edmonton,Alberta,T5B 3K2
4 Bedrooms 2 Bathrooms Bungalow,467500.0,4,2,0,1249.0,0.15,1957,Single Family,Residential Detached Single Family,Bungalow,Nw,Gold Bar,Edmonton,Alberta,T6A 1K9
5 Bedrooms 2 Bathrooms Bungalow,315000.0,5,2,0,1060.0,0.14,1959,Single Family,Residential Detached Single Family,Bungalow,Nw,Balwin,Edmonton,Alberta,T5C 1Y4
5 Bedrooms 2 Bathrooms Bungalow,376000.0,5,2,4,1264.0,0.15,1954,Single Family,Residential Detached Single Family,Bungalow,9631 85 Street Nw,Holyrood,Edmonton,Alberta,T6C 3E3
1 Bedrooms 1 Bathrooms Bungalow,425000.0,1,1,0,697.0,0.09,1931,Single Family,Residential Detached Single Family,Bungalow,6510 111 Avenue Nw,Highlands,Edmonton,Alberta,T5W 0L8
5 Bedrooms 2 Bathrooms Raised Bungalow,459999.0,5,2,0,1029.0,0.14,1957,Single Family,Residential Detached Single Family,Raised Bungalow,12803 129 Avenue Nw,Athlone,Edmonton,Alberta,T5L 3J7
3 Bedrooms 2 Bathrooms Bungalow,209900.0,3,2,0,869.0,0.0,1952,Single Family,Residential Detached Single Family,Bungalow,Nw,Montrose,Edmonton,Alberta,T5B 1M3
2 Bedrooms 2 Bathrooms Bi-Level,230000.0,2,2,0,550.0,0.08,1980,Single Family,Residential Detached Single Family,Bi-Level,14612 31 Street Nw,Kirkness,Edmonton,Alberta,T5Y 1Y8
5 Bedrooms 3 Bathrooms Bungalow,650000.0,5,3,0,1476.0,0.16,1958,Single Family,Residential Detached Single Family,Bungalow,8920 140 Street Nw,Parkview,Edmonton,Alberta,T5R 0J5
3 Bedrooms 2 Bathrooms Bungalow,310000.0,3,2,0,1069.0,0.0,1946,Single Family,Residential Detached Single Family,Bungalow,11435 83 Street Nw,Parkdale,Edmonton,Alberta,T5B 2Y4
4 Bedrooms 2 Bathrooms Bungalow,345000.0,4,2,4,1147.0,0.13,1962,Single Family,Residential Detached Single Family,Bungalow,8004 163 Street Nw,Elmwood,Edmonton,Alberta,T5R 2N3
5 Bedrooms 2 Bathrooms Bungalow,399000.0,5,2,5,1296.0,0.14,1966,Single Family,Residential Detached Single Family,Bungalow,7115 136 Avenue Nw,Delwood,Edmonton,Alberta,T5C 2K3
5 Bedrooms 2 Bathrooms Bungalow,358600.0,5,2,0,1248.0,0.15,1966,Single Family,Residential Detached Single Family,Bungalow,13320 71 Street Nw,Delwood,Edmonton,Alberta,T5C 0M8
5 Bedrooms 3 Bathrooms Bungalow,899000.0,5,3,4,2049.0,0.0,2014,Single Family,Residential Detached Single Family,Bungalow,10957 70 Avenue Nw,Parkallen,Edmonton,Alberta,T6H 2G7
3 Bedrooms 2 Bathrooms Raised Bungalow,444000.0,3,2,0,1143.0,0.0,1949,Single Family,Residential Detached Single Family,Raised Bungalow,8810 88 Avenue Nw,Bonnie Doon,Edmonton,Alberta,T6C 1L6
3 Bedrooms 2 Bathrooms Raised Bungalow,269900.0,3,2,4,992.0,0.17,1964,Single Family,Residential Detached Single Family,Raised Bungalow,12434 80 Street Nw,Elmwood Park,Edmonton,Alberta,T5B 2P7
3 Bedrooms 2 Bathrooms Bungalow,450000.0,3,2,0,955.0,0.0,1957,Single Family,Residential Detached Single Family,Bungalow,9826 66 Avenue Nw,Hazeldean,Edmonton,Alberta,T6E 0M5
4 Bedrooms 2 Bathrooms Bi-Level,537900.0,4,2,0,1001.0,0.14,1963,Single Family,Residential Detached Single Family,Bi-Level,9347 54 Street Nw,Ottewell,Edmonton,Alberta,T6B 1H3
4 Bedrooms 2 Bathrooms Bungalow,349000.0,4,2,4,818.0,0.14,1964,Single Family,Residential Detached Single Family,Bungalow,13239 68 Street Nw,Delwood,Edmonton,Alberta,T5C 0G1
3 Bedrooms 1 Bathrooms Bungalow,290000.0,3,1,0,918.0,0.15,1954,Single Family,Residential Detached Single Family,Bungalow,13935 119 Avenue Nw,Dovercourt,Edmonton,Alberta,T5L 2N7
4 Bedrooms 3 Bathrooms Bungalow,525000.0,4,3,0,1309.0,0.0,1971,Single Family,Residential Detached Single Family,Bungalow,6808 149a Avenue Nw,Kilkenny,Edmonton,Alberta,T5C 2V9
4 Bedrooms 2 Bathrooms Bungalow,459000.0,4,2,4,1155.0,0.15,1955,Single Family,Residential Detached Single Family,Bungalow,10303 78 Street Nw,Forest Heights,Edmonton,Alberta,T6A 3E4
5 Bedrooms 2 Bathrooms Bungalow,499900.0,5,2,0,1167.0,0.15,1955,Single Family,Residential Detached Single Family,Bungalow,9020 148 Street Nw,Parkview,Edmonton,Alberta,T5R 1A1
3 Bedrooms 1 Bathrooms Bungalow,469900.0,3,1,0,890.0,0.12,1949,Single Family,Residential Detached Single Family,Bungalow,9702 85 Avenue Nw,Strathcona,Edmonton,Alberta,T6E 2J4
3 Bedrooms 2 Bathrooms Raised Bungalow,359000.0,3,2,0,797.0,0.17,1957,Single Family,Residential Detached Single Family,Raised Bungalow,15730 102 Avenue Nw,Britannia Youngstown,Edmonton,Alberta,T5P 0N4
4 Bedrooms 2 Bathrooms Bungalow,364900.0,4,2,0,1325.0,0.12,1952,Single Family,Residential Detached Single Family,Bungalow,10430 82 Street Nw,Forest Heights,Edmonton,Alberta,T6A 3M7
1 Bedrooms 1 Bathrooms Bungalow,325000.0,1,1,0,797.0,0.16,1949,Single Family,Residential Detached Single Family,Bungalow,11219 104 Street Nw Nw,Spruce Avenue,Edmonton,Alberta,T5G 2K6
1 Bedrooms 1 Bathrooms Bungalow,149900.0,1,1,0,672.0,0.09,1945,Single Family,Residential Detached Single Family,Bungalow,11611 95 Street Nw,Alberta Avenue,Edmonton,Alberta,T5G 1L7
5 Bedrooms 2 Bathrooms Bungalow,679000.0,5,2,0,1195.0,0.16,1953,Single Family,Residential Detached Single Family,Bungalow,14328 97a Avenue Nw,Crestwood,Edmonton,Alberta,T5N 0E9
1 Bedrooms 1 Bathrooms Bungalow,185000.0,1,1,2,805.0,0.11,1922,Single Family,Residential Detached Single Family,Bungalow,11137 123 Street Nw,Inglewood,Edmonton,Alberta,T5M 0E6
4 Bedrooms 2 Bathrooms Bungalow,339900.0,4,2,0,941.0,0.13,1953,Single Family,Residential Detached Single Family,Bungalow,8640 80 Street Nw,Idylwylde,Edmonton,Alberta,T6C 2S7
4 Bedrooms 3 Bathrooms Bi-Level,315000.0,4,3,4,1124.0,0.0,1976,Single Family,Residential Detached Single Family,Bi-Level,9546 107a Avenue Nw,Mccauley,Edmonton,Alberta,T5H 0Z5
5 Bedrooms 2 Bathrooms Bungalow,305000.0,5,2,6,1048.0,0.14,1962,Single Family,Residential Detached Single Family,Bungalow,12711 80 Street Nw,Balwin,Edmonton,Alberta,T5C 1L2
3 Bedrooms 1 Bathrooms Bungalow,229900.0,3,1,0,771.0,0.14,1940,Single Family,Residential Detached Single Family,Bungalow,13108 66 Street Nw,Balwin,Edmonton,Alberta,T5C 0A8
5 Bedrooms 3 Bathrooms Bungalow,480000.0,5,3,0,1149.0,0.0,1963,Single Family,Residential Detached Single Family,Bungalow,6908 90 Avenue Nw,Ottewell,Edmonton,Alberta,T6B 0P4
2 Bedrooms 1 Bathrooms Bungalow,199900.0,2,1,0,885.0,0.0,1950,Single Family,Residential Detached Single Family,Bungalow,11520 81 Street Nw,Parkdale,Edmonton,Alberta,T5B 2R8
3 Bedrooms 2 Bathrooms Bungalow,269900.0,3,2,0,815.0,0.14,1955,Single Family,Residential Detached Single Family,Bungalow,4017 117 Avenue Nw,Beverly Heights,Edmonton,Alberta,T5W 0Y1
4 Bedrooms 3 Bathrooms Bungalow,308800.0,4,3,4,1075.0,0.17,1948,Single Family,Residential Detached Single Family,Bungalow,11635 102 Street Nw,Spruce Avenue,Edmonton,Alberta,T5G 2E9
4 Bedrooms 2 Bathrooms Bungalow,524900.0,4,2,0,1062.0,0.13,1961,Single Family,Residential Detached Single Family,Bungalow,6904 90 Avenue Nw,Ottewell,Edmonton,Alberta,T6B 0P4
2 Bedrooms 1 Bathrooms Bungalow,164900.0,2,1,2,793.0,0.12,1910,Single Family,Residential Detached Single Family,Bungalow,11440 87 Street Nw,Parkdale,Edmonton,Alberta,T5B 3M1
2 Bedrooms 1 Bathrooms Bungalow,169900.0,2,1,0,827.0,0.12,1945,Single Family,Residential Detached Single Family,Bungalow,11404 87 Street Nw,Parkdale,Edmonton,Alberta,T5B 3E2
4 Bedrooms 2 Bathrooms Bungalow,364888.0,4,2,0,1050.0,0.0,1960,Single Family,Residential Detached Single Family,Bungalow,7908 128 Avenue Nw,Balwin,Edmonton,Alberta,T5C 1T7
3 Bedrooms 2 Bathrooms Bungalow,225000.0,3,2,0,840.0,0.09,1945,Single Family,Residential Detached Single Family,Bungalow,11853 95a Street Nw,Alberta Avenue,Edmonton,Alberta,T5G 1R2
3 Bedrooms 2 Bathrooms Bungalow,249900.0,3,2,0,985.0,0.16,1966,Single Family,Residential Detached Single Family,Bungalow,12311 76 Street Nw,Elmwood Park,Edmonton,Alberta,T5B 2E3
3 Bedrooms 3 Bathrooms Bi-Level,414900.0,3,3,0,1068.0,0.12,1999,Single Family,Residential Detached Single Family,Bi-Level,3923 28 Street Nw,Larkspur,Edmonton,Alberta,T6T 1L1
4 Bedrooms 2 Bathrooms Bungalow,435000.0,4,2,0,1080.0,0.0,1962,Single Family,Residential Detached Single Family,Bungalow,5307 94a Avenue Nw Nw,Ottewell,Edmonton,Alberta,T6B 0Y6
8 Bedrooms 2 Bathrooms Raised Bungalow,379800.0,8,2,0,1182.0,0.0,1960,Single Family,Residential Detached Single Family,Raised Bungalow,11628 91 Street Nw Nw,Alberta Avenue,Edmonton,Alberta,T5B 4B1
4 Bedrooms 3 Bathrooms Bungalow,379900.0,4,3,0,1431.0,0.14,1965,Single Family,Residential Detached Single Family,Bungalow,4316 115 Street Nw,Royal Gardens,Edmonton,Alberta,T6J 1P6
5 Bedrooms 2 Bathrooms Bungalow,294900.0,5,2,0,1244.0,0.09,1966,Single Family,Residential Detached Single Family,Bungalow,12034 94 Street Nw,Alberta Avenue,Edmonton,Alberta,T5G 1J7
1 Bedrooms 1 Bathrooms Bungalow,324000.0,1,1,0,967.0,0.0,1931,Single Family,Residential Detached Single Family,Bungalow,11430 123 Street Nw,Inglewood,Edmonton,Alberta,T5M 0G2
4 Bedrooms 2 Bathrooms Bi-Level,329900.0,4,2,2,849.0,0.08,1944,Single Family,Residential Detached Single Family,Bi-Level,10840 97 Street Nw,Mccauley,Edmonton,Alberta,T5H 2M3
3 Bedrooms 3 Bathrooms Bungalow,284999.0,3,3,0,1139.0,0.0,1930,Single Family,Residential Detached Single Family,Bungalow,11505 86 Street Nw,Parkdale,Edmonton,Alberta,T5B 3J4
4 Bedrooms 2 Bathrooms Bungalow,289000.0,4,2,4,1059.0,0.0,1958,Single Family,Residential Detached Single Family,Bungalow,12220 57 Street Nw,Newton,Edmonton,Alberta,T5W 3W3
3 Bedrooms 1 Bathrooms Bungalow,265000.0,3,1,0,1122.0,0.14,1957,Single Family,Residential Detached Single Family,Bungalow,13032 134 Street Nw,Athlone,Edmonton,Alberta,T5L 1V8
3 Bedrooms 2 Bathrooms Bungalow,350000.0,3,2,0,1051.0,0.0,1956,Single Family,Residential Detached Single Family,Bungalow,10220 50 Street Nw,Fulton Place,Edmonton,Alberta,T6A 2B9
3 Bedrooms 2 Bathrooms Bungalow,329900.0,3,2,0,961.0,0.09,1964,Single Family,Residential Detached Single Family,Bungalow,12715 96 Street Nw,Killarney,Edmonton,Alberta,T5E 4A8
2 Bedrooms 2 Bathrooms Bungalow,370000.0,2,2,0,1307.0,0.14,1960,Single Family,Residential Detached Single Family,Bungalow,13503 110 Street Nw,Rosslyn,Edmonton,Alberta,T5E 4Z3
5 Bedrooms 3 Bathrooms Bi-Level,788000.0,5,3,0,1556.0,0.17,1965,Single Family,Residential Detached Single Family,Bi-Level,6307 132 Street Nw,Grandview Heights,Edmonton,Alberta,T6H 3Y8
2 Bedrooms 2 Bathrooms Bungalow,254900.0,2,2,3,717.0,0.11,1953,Single Family,Residential Detached Single Family,Bungalow,12428 88 Street Nw,Delton,Edmonton,Alberta,T5B 3T2
4 Bedrooms 2 Bathrooms Bungalow,399800.0,4,2,2,985.0,0.15,1958,Single Family,Residential Detached Single Family,Bungalow,13703 137 Avenue Nw,Wellington,Edmonton,Alberta,T5L 4C7
5 Bedrooms 3 Bathrooms Bungalow,419000.0,5,3,0,1421.0,0.14,1969,Single Family,Residential Detached Single Family,Bungalow,14508 64 Street Nw,Mcleod,Edmonton,Alberta,T5A 2C3
4 Bedrooms 4 Bathrooms Bungalow,689000.0,4,4,0,2029.0,0.0,1957,Single Family,Residential Detached Single Family,Bungalow,10008 143 Street Nw,Grovenor,Edmonton,Alberta,T5N 2R6
3 Bedrooms 3 Bathrooms Bungalow,469900.0,3,3,2,1280.0,0.15,1956,Single Family,Residential Detached Single Family,Bungalow,14616 85 Avenue Nw,Laurier Heights,Edmonton,Alberta,T5R 3Z4
3 Bedrooms 2 Bathrooms Bungalow,249000.0,3,2,0,759.0,0.05,1948,Single Family,Residential Detached Single Family,Bungalow,10894 98 Street Nw,Mccauley,Edmonton,Alberta,T5H 2P5
5 Bedrooms 2 Bathrooms Bungalow,429900.0,5,2,0,1475.0,0.2,1961,Single Family,Residential Detached Single Family,Bungalow,6804 100 Avenue Nw,Terrace Heights,Edmonton,Alberta,T6A 0G2
3 Bedrooms 3 Bathrooms Bungalow,417500.0,3,3,0,1276.0,0.15,1963,Single Family,Residential Detached Single Family,Bungalow,Nw,Malmo Plains,Edmonton,Alberta,T6H 3R8
4 Bedrooms 2 Bathrooms Bungalow,299900.0,4,2,0,948.0,0.0,1955,Single Family,Residential Detached Single Family,Bungalow,12812 103 Street Nw,Lauderdale,Edmonton,Alberta,T5E 4M1
2 Bedrooms 2 Bathrooms Bungalow,299900.0,2,2,0,849.0,0.11,1946,Single Family,Residential Detached Single Family,Bungalow,9854 75 Avenue Nw,Ritchie,Edmonton,Alberta,T6E 1J1
4 Bedrooms 2 Bathrooms Bungalow,249900.0,4,2,0,1048.0,0.14,1964,Single Family,Residential Detached Single Family,Bungalow,13311 58 Street Nw,Belvedere,Edmonton,Alberta,T5A 0P9
4 Bedrooms 3 Bathrooms Bungalow,474900.0,4,3,0,1263.0,0.0,1959,Single Family,Residential Detached Single Family,Bungalow,7711 154 Street Nw,Rio Terrace,Edmonton,Alberta,T5R 1R6
3 Bedrooms 2 Bathrooms Bungalow,230000.0,3,2,0,1020.0,0.14,1946,Single Family,Residential Detached Single Family,Bungalow,11940 Fort Road Nw,Eastwood,Edmonton,Alberta,T5B 4G8
2 Bedrooms 2 Bathrooms Bungalow,299000.0,2,2,0,1116.0,0.14,1949,Single Family,Residential Detached Single Family,Bungalow,11946 126 Street Nw,Prince Charles,Edmonton,Alberta,T5L 0W2
4 Bedrooms 4 Bathrooms 4 Level Split,624800.0,4,4,0,1872.0,0.14,1971,Single Family,Residential Detached Single Family,4 Level Split,14324 50 Avenue Nw,Brookside,Edmonton,Alberta,T6H 0K3
5 Bedrooms 2 Bathrooms Bungalow,340000.0,5,2,0,1072.0,0.0,1956,Single Family,Residential Detached Single Family,Bungalow,10307 56 Street Nw,Fulton Place,Edmonton,Alberta,T6A 2J1
6 Bedrooms 3 Bathrooms 5 Level Split,419900.0,6,3,5,2005.0,0.16,1962,Single Family,Residential Detached Single Family,5 Level Split,8316 160 Street Nw,Elmwood,Edmonton,Alberta,T5R 2H3
5 Bedrooms 4 Bathrooms 4 Level Split,999000.0,5,4,0,3367.0,0.0,1949,Single Family,Residential Detached Single Family,4 Level Split,13512 101 Avenue Nw,Glenora,Edmonton,Alberta,T5N 0J5
5 Bedrooms 2 Bathrooms Bungalow,418000.0,5,2,0,1118.0,0.14,1961,Single Family,Residential Detached Single Family,Bungalow,12823 128 Street Nw,Athlone,Edmonton,Alberta,T5L 1E4
5 Bedrooms 2 Bathrooms Bungalow,469000.0,5,2,4,1157.0,0.13,1962,Single Family,Residential Detached Single Family,Bungalow,7719 106a Avenue Nw,Forest Heights,Edmonton,Alberta,T8A 1K5
4 Bedrooms 2 Bathrooms Bi-Level,525000.0,4,2,0,675.0,0.18,1912,Single Family,Residential Detached Single Family,Bi-Level,8405 114 Avenue Nw,Parkdale,Edmonton,Alberta,T5B 0K2
4 Bedrooms 3 Bathrooms 4 Level Split,370000.0,4,3,0,1685.0,0.0,1971,Single Family,Residential Detached Single Family,4 Level Split,9535 145 Ave Nw Nw,Evansdale,Edmonton,Alberta,T5E 2J5
2 Bedrooms 1 Bathrooms Bungalow,418000.0,2,1,2,883.0,0.18,1953,Single Family,Residential Detached Single Family,Bungalow,9428 76 Street Nw,Holyrood,Edmonton,Alberta,T6C 2K6
5 Bedrooms 3 Bathrooms Bungalow,469000.0,5,3,0,1204.0,0.15,1966,Single Family,Residential Detached Single Family,Bungalow,Nw,Delwood,Edmonton,Alberta,T5C 1N9
4 Bedrooms 2 Bathrooms 4 Level Split,499000.0,4,2,5,1022.0,0.14,1957,Single Family,Residential Detached Single Family,4 Level Split,7215 78 Avenue Nw,King Edward Park,Edmonton,Alberta,T6B 0B8
5 Bedrooms 2 Bathrooms Bungalow,424800.0,5,2,2,1054.0,0.0,1964,Single Family,Residential Detached Single Family,Bungalow,13412 94 Street Nw,Glengarry,Edmonton,Alberta,T5E 3V9
2 Bedrooms 2 Bathrooms Bungalow,349900.0,2,2,4,879.0,0.14,1953,Single Family,Residential Detached Single Family,Bungalow,7928 91 Avenue Nw,Holyrood,Edmonton,Alberta,T6C 1R1
3 Bedrooms 2 Bathrooms Bungalow,215000.0,3,2,0,774.0,0.15,1944,Single Family,Residential Detached Single Family,Bungalow,5113 118 Avenue Nw,Highlands,Edmonton,Alberta,T5W 1C1
4 Bedrooms 3 Bathrooms Bungalow,299000.0,4,3,0,1340.0,0.0,1978,Single Family,Residential Detached Single Family,Bungalow,14232 25 Street Nw,Bannerman,Edmonton,Alberta,T5Y 1G5
4 Bedrooms 2 Bathrooms Raised Bungalow,300000.0,4,2,0,1348.0,0.17,1957,Single Family,Residential Detached Single Family,Raised Bungalow,Nw,Elmwood Park,Edmonton,Alberta,T5B 2P3
5 Bedrooms 3 Bathrooms Raised Bungalow,599900.0,5,3,4,1160.0,0.1,1949,Single Family,Residential Detached Single Family,Raised Bungalow,10502 79 Avenue Nw,Queen Alexandra,Edmonton,Alberta,T6E 1R8
1 Bedrooms 2 Bathrooms Raised Bungalow,399999.0,1,2,0,653.0,0.1,1948,Single Family,Residential Detached Single Family,Raised Bungalow,10464 76 Avenue Nw,Queen Alexandra,Edmonton,Alberta,T6E 1L1
4 Bedrooms 2 Bathrooms Bungalow,370000.0,4,2,0,1023.0,0.22,1971,Single Family,Residential Detached Single Family,Bungalow,9327 140 Avenue Nw,Northmount,Edmonton,Alberta,T5E 2E2
4 Bedrooms 3 Bathrooms Bungalow,553900.0,4,3,0,1167.0,0.12,1950,Single Family,Residential Detached Single Family,Bungalow,10621 62 Avenue Nw,Allendale,Edmonton,Alberta,T6H 1M7
5 Bedrooms 2 Bathrooms Bungalow,384900.0,5,2,2,1055.0,0.13,1955,Single Family,Residential Detached Single Family,Bungalow,9019 149 Street Nw,Parkview,Edmonton,Alberta,T5R 0A5
6 Bedrooms 3 Bathrooms Bungalow,483500.0,6,3,4,1443.0,0.14,1977,Single Family,Residential Detached Single Family,Bungalow,2624 135 Avenue Nw,Kernohan,Edmonton,Alberta,T5A 3T8
3 Bedrooms 2 Bathrooms Bungalow,275000.0,3,2,2,1119.0,0.11,1957,Single Family,Residential Detached Single Family,Bungalow,12325 101 Street Nw,Westwood,Edmonton,Alberta,T5G 2C6
4 Bedrooms 2 Bathrooms Bungalow,299999.0,4,2,5,1071.0,0.14,1975,Single Family,Residential Detached Single Family,Bungalow,3716 136 Avenue Nw,Belmont,Edmonton,Alberta,T5A 2P1
5 Bedrooms 2 Bathrooms Bungalow,465000.0,5,2,2,1200.0,0.1,1965,Single Family,Residential Detached Single Family,Bungalow,9828 81 Avenue Nw,Ritchie,Edmonton,Alberta,T6E 1W3
3 Bedrooms 1 Bathrooms Bungalow,255000.0,3,1,0,1291.0,0.17,1950,Single Family,Residential Detached Single Family,Bungalow,9941 163 Street Nw,Glenwood,Edmonton,Alberta,T5P 3N3
3 Bedrooms 3 Bathrooms Bungalow,399000.0,3,3,0,1268.0,0.0,1961,Single Family,Residential Detached Single Family,Bungalow,8308 159 Street Nw,Elmwood,Edmonton,Alberta,T5R 2E7
4 Bedrooms 3 Bathrooms 3 Level Split,699900.0,4,3,0,1439.0,0.0,1961,Single Family,Residential Detached Single Family,3 Level Split,6032 105b Street Nw,Pleasantview,Edmonton,Alberta,T6H 2S5
4 Bedrooms 2 Bathrooms Bungalow,318000.0,4,2,4,995.0,0.13,1959,Single Family,Residential Detached Single Family,Bungalow,13612 136a Street Nw,Wellington,Edmonton,Alberta,T5L 2A6
3 Bedrooms 1 Bathrooms Bungalow,249900.0,3,1,0,1100.0,0.0,1957,Single Family,Residential Detached Single Family,Bungalow,12008 61 Street Nw Nw,Montrose,Edmonton,Alberta,T5W 4B1
2 Bedrooms 1 Bathrooms Bungalow,150000.0,2,1,0,799.0,0.1,1941,Single Family,Residential Detached Single Family,Bungalow,12932 64 Street Nw,Belvedere,Edmonton,Alberta,T5A 0Y1
3 Bedrooms 1 Bathrooms Raised Bungalow,399999.0,3,1,6,886.0,0.1,1945,Single Family,Residential Detached Single Family,Raised Bungalow,10453 77 Avenue Nw,Queen Alexandra,Edmonton,Alberta,T6E 1M8
2 Bedrooms 1 Bathrooms Bungalow,300000.0,2,1,0,980.0,0.17,1956,Single Family,Residential Detached Single Family,Bungalow,9938 157 Street Nw,Glenwood,Edmonton,Alberta,T5P 2T6
5 Bedrooms 2 Bathrooms Bungalow,305000.0,5,2,0,1078.0,0.15,1964,Single Family,Residential Detached Single Family,Bungalow,8207 135a Avenue Nw,Glengarry,Edmonton,Alberta,T5E 1R4
4 Bedrooms 3 Bathrooms 4 Level Split,397000.0,4,3,0,1255.0,0.0,1990,Single Family,Residential Detached Single Family,4 Level Split,3535 147a Avenue Nw,Kirkness,Edmonton,Alberta,T5Y 2N6
3 Bedrooms 2 Bathrooms Bungalow,299980.0,3,2,0,1167.0,0.0,1967,Single Family,Residential Detached Single Family,Bungalow,12319 51 Street Nw,Newton,Edmonton,Alberta,T5W 3H4
4 Bedrooms 2 Bathrooms Bungalow,374800.0,4,2,4,1444.0,0.14,1957,Single Family,Residential Detached Single Family,Bungalow,9504 75 Street Nw,Holyrood,Edmonton,Alberta,T6C 2H9
4 Bedrooms 2 Bathrooms Bungalow,329900.0,4,2,0,985.0,0.14,1967,Single Family,Residential Detached Single Family,Bungalow,6208 144 Avenue Nw,Mcleod,Edmonton,Alberta,T5A 1K9
3 Bedrooms 2 Bathrooms Bungalow,339900.0,3,2,4,1142.0,0.0,1970,Single Family,Residential Detached Single Family,Bungalow,10832 30 Street Nw,Rundle Heights,Edmonton,Alberta,T5W 1V8
4 Bedrooms 2 Bathrooms 4 Level Split,369000.0,4,2,0,1040.0,0.0,1965,Single Family,Residential Detached Single Family,4 Level Split,11107 40 Ave Nw,Greenfield,Edmonton,Alberta,T6J 0P9
4 Bedrooms 2 Bathrooms Raised Bungalow,399999.0,4,2,2,828.0,0.1,1960,Single Family,Residential Detached Single Family,Raised Bungalow,10456 76 Avenue Nw,Queen Alexandra,Edmonton,Alberta,T6E 1L1
3 Bedrooms 2 Bathrooms 4 Level Split,350000.0,3,2,4,1507.0,0.15,1964,Single Family,Residential Detached Single Family,4 Level Split,13216 73 Street Nw,Delwood,Edmonton,Alberta,T5C 0T8
3 Bedrooms 2 Bathrooms Bungalow,389900.0,3,2,0,743.0,0.12,1948,Single Family,Residential Detached Single Family,Bungalow,9630 81 Avenue Nw,Ritchie,Edmonton,Alberta,T6C 0X7
8 Bedrooms 2 Bathrooms Bungalow,205000.0,8,2,2,1457.0,0.09,1944,Single Family,Residential Detached Single Family,Bungalow,Nw,Mccauley,Edmonton,Alberta,T5H 0N4
2 Bedrooms 2 Bathrooms Bi-Level,275000.0,2,2,0,527.0,0.09,1981,Single Family,Residential Detached Single Family,Bi-Level,3503 43 Avenue Nw,Kiniski Gardens,Edmonton,Alberta,T6L 4J5
4 Bedrooms 3 Bathrooms Bungalow,440000.0,4,3,4,1203.0,0.0,1965,Single Family,Residential Detached Single Family,Bungalow,4623 113a Street Nw,Malmo Plains,Edmonton,Alberta,T6H 1A1
4 Bedrooms 2 Bathrooms 3 Level Split,350000.0,4,2,6,1068.0,0.16,1974,Single Family,Residential Detached Single Family,3 Level Split,87 Hamilton Crescent Nw,Homesteader,Edmonton,Alberta,T5A 2M5
5 Bedrooms 2 Bathrooms Raised Bungalow,299900.0,5,2,0,990.0,0.19,1946,Single Family,Residential Detached Single Family,Raised Bungalow,12033 95a Street Nw,Alberta Avenue,Edmonton,Alberta,T5G 1R6
4 Bedrooms 2 Bathrooms 4 Level Split,377900.0,4,2,4,1160.0,0.14,1967,Single Family,Residential Detached Single Family,4 Level Split,7208 139 Avenue Nw,Kildare,Edmonton,Alberta,T5C 2M2
2 Bedrooms 2 Bathrooms Bungalow,335000.0,2,2,5,937.0,0.14,1958,Single Family,Residential Detached Single Family,Bungalow,16449 105 Avenue Nw,Britannia Youngstown,Edmonton,Alberta,T5P 0V2
5 Bedrooms 3 Bathrooms Bungalow,399900.0,5,3,0,1349.0,0.0,1975,Single Family,Residential Detached Single Family,Bungalow,10311 158 Street Nw,Britannia Youngstown,Edmonton,Alberta,T5P 2Y4
4 Bedrooms 2 Bathrooms Bungalow,619900.0,4,2,0,1135.0,0.0,1954,Single Family,Residential Detached Single Family,Bungalow,14604 93 Avenue Nw,Parkview,Edmonton,Alberta,T5R 5G6
3 Bedrooms 2 Bathrooms 4 Level Split,339000.0,3,2,0,938.0,0.0,1979,Single Family,Residential Detached Single Family,4 Level Split,2107 140 Avenue Nw,Bannerman,Edmonton,Alberta,T5Y 1R3
3 Bedrooms 2 Bathrooms Bungalow,235000.0,3,2,0,722.0,0.09,1948,Single Family,Residential Detached Single Family,Bungalow,12224 95a Street Nw,Delton,Edmonton,Alberta,T5G 1S1
2 Bedrooms 1 Bathrooms Bungalow,215000.0,2,1,2,853.0,0.0,1950,Single Family,Residential Detached Single Family,Bungalow,12014 64 Street Nw,Montrose,Edmonton,Alberta,T5W 4J6
5 Bedrooms 2 Bathrooms Bi-Level,465000.0,5,2,0,1028.0,0.0,1968,Single Family,Residential Detached Single Family,Bi-Level,11416 43 Avenue Nw,Royal Gardens,Edmonton,Alberta,T6J 0Y1
4 Bedrooms 4 Bathrooms Bungalow,1399000.0,4,4,6,2750.0,0.0,2007,Single Family,Residential Detached Single Family,Bungalow,1420 Woodward Crescent Nw,Oleskiw,Edmonton,Alberta,T6M 0A3
3 Bedrooms 2 Bathrooms Bi-Level,299900.0,3,2,0,1118.0,0.14,1966,Single Family,Residential Detached Single Family,Bi-Level,4833 116 Avenue Nw,Beverly Heights,Edmonton,Alberta,T5W 0X7
